Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),Vehicle Age,Condition,Has_AC,Has_PowerSteering,Has_PowerMirror,Has_PowerWindow,Option_Count
20500000,BMW,320D,2012.0,89000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
17200000,BMW,320d F30,2013.0,140000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
18900000,BMW,318I Sport Line,2016.0,61000.0,Automatic,Petrol,1500.0,10.0,Used,1,1,1,1,4
13950000,BMW,523i,2011.0,163000.0,Automatic,Petrol,2500.0,15.0,Used,0,0,0,0,0
18500000,BMW,318i Luxury Edition,2016.0,64000.0,Automatic,Petrol,1500.0,10.0,Used,1,1,1,1,4
13000000,BMW,320D,2011.0,120000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
16900000,BMW,316I,2015.0,105000.0,Automatic,Petrol,1600.0,11.0,Used,1,1,1,1,4
11000000,BMW,320D,2011.0,243000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
21000000,BMW,520D,2013.0,151000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
17500000,BMW,320d F30,2013.0,145000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
19900000,BMW,520d,2012.0,151000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
11460000,BMW,320d,2011.0,201500.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
18275000,BMW,520D,2013.0,107000.0,Automatic,Petrol,2200.0,13.0,Used,1,1,1,1,4
18900000,BMW,520D,2012.0,78000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
9800000,BMW,E90 320i,2008.0,136000.0,Automatic,Petrol,1995.0,18.0,Used,1,1,1,1,4
29500000,BMW,530e M Sport,2018.0,78000.0,Automatic,Hybrid,2000.0,8.0,Used,1,1,1,1,4
17500000,BMW,318I Sport Line,2018.0,100000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
1080000,BMW,E90 320i M Sport,2011.0,200.0,Automatic,Petrol,1800.0,15.0,Used,1,1,1,1,4
13750000,BMW,320d,2008.0,174000.0,Automatic,Diesel,2000.0,18.0,Used,1,1,1,1,4
30500000,BMW,420d M Sport,2014.0,66000.0,Automatic,Diesel,2000.0,12.0,Used,1,1,1,1,4
11200000,BMW,Mini Cooper,2015.0,74200.0,Automatic,Petrol,1200.0,11.0,Used,1,1,1,1,4
26500000,BMW,530e,2018.0,77000.0,Automatic,Other,2000.0,8.0,Used,0,0,0,0,0
18975000,BMW,520D M Sport M5,2012.0,117000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
21000000,BMW,318i,2017.0,64000.0,Automatic,Petrol,1500.0,9.0,Used,1,1,1,1,4
34500000,BMW,520d M-sport,2015.0,129000.0,Automatic,Diesel,2200.0,11.0,Used,1,1,1,1,4
18800000,BMW,318i M Sport Plus,2016.0,98000.0,Automatic,Petrol,1500.0,10.0,Used,1,1,1,1,4
28500000,BMW,740i M Sport,2015.0,85000.0,Automatic,Petrol,3000.0,11.0,Used,1,1,1,1,4
19500000,BMW,520D F10 M SPORT,2012.0,160000.0,Automatic,Diesel,3200.0,14.0,Used,1,1,1,1,4
11800000,BMW,523i E60 LCI,2007.0,89300.0,Automatic,Petrol,2500.0,19.0,Used,1,1,1,1,4
42500000,BMW,740Le LWB M Sport,2018.0,54000.0,Automatic,Hybrid,3000.0,8.0,Used,1,1,1,1,4
8650000,BMW,E60 520i,2004.0,122000.0,Automatic,Petrol,2000.0,22.0,Used,0,0,0,0,0
19300000,BMW,520d 3 Option,2013.0,185000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
21000000,BMW,318i Sport,2017.0,69342.0,Automatic,Petrol,1500.0,9.0,Used,1,1,1,1,4
21000000,BMW,335i,2013.0,82000.0,Automatic,Petrol,3000.0,13.0,Used,1,1,1,1,4
11900000,BMW,320D,2011.0,137000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
22500000,BMW,520d,2013.0,107000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
8975000,BMW,320I E90,2006.0,123000.0,Automatic,Petrol,1990.0,20.0,Used,1,1,1,1,4
21500000,BMW,318i M Sport,2017.0,47500.0,Automatic,Petrol,1500.0,9.0,Used,1,1,1,1,4
10500000,BMW,523i,2007.0,150000.0,Automatic,Petrol,2500.0,19.0,Used,1,1,1,1,4
15700000,BMW,320D F30,2013.0,133000.0,Automatic,Diesel,2000.0,13.0,Used,0,0,0,0,0
21500000,BMW,520d,2012.0,157000.0,Automatic,Diesel,2000.0,14.0,Used,0,0,0,0,0
2100000,BMW,E36,1994.0,100000.0,Manual,Petrol,1600.0,32.0,Used,1,1,1,1,4
8975000,BMW,320I E90,2006.0,111111.0,Automatic,Petrol,1800.0,20.0,Used,1,1,1,1,4
15800000,BMW,523i Rare Spec,2010.0,128000.0,Automatic,Petrol,2500.0,16.0,Used,1,1,1,1,4
46500000,BMW,740Le,2017.0,57386.0,Automatic,Hybrid,2000.0,9.0,Used,1,1,1,1,4
20000000,BMW,520d,2012.0,145000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
11000000,BMW,320d,2011.0,143000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
18200000,BMW,318i,2016.0,64200.0,Automatic,Petrol,1500.0,10.0,Used,1,1,1,1,4
19650000,BMW,520d,2012.0,150000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
22100000,BMW,318i Luxury Line,2018.0,108000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
17200000,BMW,318I,2016.0,110000.0,Automatic,Petrol,1490.0,10.0,Used,0,0,0,0,0
